Buffer Size (KB),Run 1 (MB/s),Run 2 (MB/s),Run 3 (MB/s),Min,Max,Mean,Median,Std Dev
4,2168.641456207121,4411.757547680985,4937.998383497417,2168.641456207121,4937.998383497417,3839.4657957951745,4411.757547680985,1200.8255034600395
8,6224.387314906398,6475.809457467781,6431.844831872243,6224.387314906398,6475.809457467781,6377.347201415475,6431.844831872243,109.63809324801585
16,7488.979688058517,7283.975972023893,6676.030220341762,6676.030220341762,7488.979688058517,7149.661960141391,7283.975972023893,345.20708722564245
32,5587.803398893489,6671.581403621321,6940.834063513559,5587.803398893489,6940.834063513559,6400.072955342791,6671.581403621321,584.7852158217402
64,8055.236076479376,7282.1358200730765,7055.439910438763,7055.439910438763,8055.236076479376,7464.270602330405,7282.1358200730765,428.00148176403974
128,7706.493054234746,7859.848943350096,7714.576972126725,7706.493054234746,7859.848943350096,7760.306323237189,7714.576972126725,70.46458848872481
256,8969.824603612184,8007.068078307671,8962.954846814735,8007.068078307671,8969.824603612184,8646.61584291153,8962.954846814735,452.2372576402483
512,7165.904543418287,7261.93692465197,8806.115932015036,7165.904543418287,8806.115932015036,7744.652466695098,7261.93692465197,751.5912323056606
1024,8397.727407106155,6902.090483158047,8405.229670001712,6902.090483158047,8405.229670001712,7901.682520088638,8397.727407106155,706.8249435366696
2048,8364.299255289316,7862.158194417368,7922.415619175159,7862.158194417368,8364.299255289316,8049.624356293946,7922.415619175159,223.86448036393074
